,unnamed_0,how_many_employees_does_your_company_or_organization_have,is_your_employer_primarily_a_tech_company_organization,is_your_primary_role_within_your_company_related_to_tech_it,does_your_employer_provide_mental_health_benefits_as_part_of_healthcare_coverage,do_you_know_the_options_for_mental_health_care_available_under_your_employer_provided_health_coverage,has_your_employer_ever_formally_discussed_mental_health_for_example_as_part_of_a_wellness_campaign_or_other_official_communication,does_your_employer_offer_resources_to_learn_more_about_mental_health_disorders_and_options_for_seeking_help,is_your_anonymity_protected_if_you_choose_to_take_advantage_of_mental_health_or_substance_abuse_treatment_resources_provided_by_your_employer,you_feel_more_comfortable_talking_to_your_coworkers_about_your_physical_health_or_your_mental_health,would_you_feel_comfortable_discussing_a_mental_health_issue_with_your_direct_supervisor_s,have_you_ever_discussed_your_mental_health_with_your_employer,would_you_feel_comfortable_discussing_a_mental_health_issue_with_your_coworkers,have_you_ever_discussed_your_mental_health_with_coworkers,overall_how_much_importance_does_your_employer_place_on_physical_health,overall_how_much_importance_does_your_employer_place_on_mental_health,do_you_have_medical_coverage_private_insurance_or_state_provided_that_includes_treatment_of_mental_health_disorders,do_you_know_local_or_online_resources_to_seek_help_for_a_mental_health_issue,do_you_believe_your_productivity_is_ever_affected_by_a_mental_health_issue,if_yes_what_percentage_of_your_work_time_time_performing_primary_or_secondary_job_functions_is_affected_by_a_mental_health_issue,have_you_had_a_mental_health_disorder_in_the_past,have_you_ever_sought_treatment_for_a_mental_health_disorder_from_a_mental_health_professional,do_you_have_a_family_history_of_mental_illness,have_your_observations_of_how_another_individual_who_discussed_a_mental_health_issue_made_you_less_likely_to_reveal_a_mental_health_issue_yourself_in_your_current_workplace,what_is_your_age,what_is_your_gender,what_is_your_race
13,13,100-500,1,0,0,1,0,0,2,0,1,0,1,1,8.0,3.0,-1,-1,-1,,0,0,0,0,26,1,
14,14,100-500,1,1,0,0,0,0,2,1,0,0,0,0,5.0,0.0,-1,-1,-1,,0,0,1,2,25,0,
15,15,26-100,1,1,1,-1,2,2,1,1,0,0,2,0,10.0,7.0,-1,-1,-1,,0,0,0,0,24,1,
16,16,100-500,0,1,2,0,0,1,1,1,0,0,2,0,5.0,5.0,-1,-1,-1,,0,0,0,2,25,1,
17,17,26-100,1,1,0,0,0,0,0,0,2,0,2,0,7.0,5.0,-1,-1,-1,,0,0,0,0,22,0,
18,18,26-100,1,1,2,0,2,2,2,1,2,0,0,0,5.0,5.0,-1,-1,-1,,2,0,0,0,27,0,
19,19,6-25,0,1,2,0,2,1,2,1,1,1,1,1,8.0,6.0,-1,-1,-1,,0,0,0,2,25,1,
20,20,500-1000,1,1,-1,0,0,2,2,0,0,0,2,1,8.0,3.0,-1,-1,-1,,1,0,0,2,25,1,
21,21,1-5,1,1,0,0,1,0,1,0,1,0,0,0,2.0,6.0,-1,-1,-1,,1,0,0,2,23,0,
22,22,More than 1000,0,1,2,0,0,0,2,0,1,1,1,1,8.0,8.0,-1,-1,-1,,0,0,0,-1,27,1,
23,23,More than 1000,0,1,2,0,0,1,1,2,1,0,2,0,10.0,10.0,-1,-1,-1,,1,1,1,0,33,0,Asian
24,24,More than 1000,1,1,1,0,0,0,1,1,0,0,2,0,6.0,5.0,-1,-1,-1,,2,0,0,0,22,0,
25,25,26-100,1,1,1,0,0,1,1,1,1,1,1,1,7.0,3.0,-1,-1,-1,,1,1,1,1,45,woman,
26,26,More than 1000,1,1,2,0,0,0,2,1,1,0,1,1,5.0,5.0,-1,-1,-1,,1,0,0,0,25,1,
27,27,More than 1000,1,1,2,0,1,1,1,1,0,0,0,0,9.0,6.0,-1,-1,-1,,1,1,0,2,22,1,
28,28,500-1000,0,1,1,1,1,1,1,1,0,0,2,1,5.0,5.0,-1,-1,-1,,1,1,1,1,36,1,White
29,29,100-500,1,1,1,1,0,0,2,2,1,0,1,1,8.0,9.0,-1,-1,-1,,1,1,1,1,42,afab non-binary,White
30,30,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,0,,0,0,0,0,39,0,
31,31,100-500,0,1,1,1,0,0,1,1,0,0,0,0,6.0,1.0,-1,-1,-1,,1,1,1,1,51,1,White
32,32,More than 1000,0,1,1,1,1,1,1,1,2,0,1,0,8.0,8.0,-1,-1,-1,,1,1,1,0,27,1,White
33,33,100-500,0,0,2,0,0,2,2,1,2,0,1,0,7.0,4.0,-1,-1,-1,,0,0,0,-1,19,0,White
34,34,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,0,,2,0,0,-1,11,0,
35,35,6-25,0,1,1,1,2,1,1,0,1,0,1,1,7.0,8.0,-1,-1,-1,,0,0,0,0,25,0,
36,36,More than 1000,0,1,1,1,1,1,2,1,1,1,2,1,5.0,4.0,-1,-1,-1,,2,1,1,1,39,0,White
37,37,1-5,1,1,0,0,0,0,1,1,0,0,0,1,6.0,7.0,-1,-1,-1,,0,1,0,1,47,0,
38,38,1-5,0,1,1,1,1,1,1,1,1,1,1,-1,2.0,1.0,-1,-1,-1,,1,1,1,-1,223,-1,White
39,39,More than 1000,0,1,1,1,1,1,2,1,0,0,0,0,7.0,5.0,-1,-1,-1,,1,1,2,2,36,1,White
40,40,26-100,1,1,2,0,0,0,2,1,0,0,2,0,8.0,4.0,-1,-1,-1,,0,0,2,2,57,0,
41,41,100-500,1,1,0,0,2,0,2,1,0,0,2,0,7.0,4.0,-1,-1,-1,,1,1,2,0,34,0,
42,42,More than 1000,1,1,0,0,0,2,2,0,1,0,1,1,5.0,5.0,-1,-1,-1,,1,1,1,2,26,0,
43,43,6-25,0,0,1,1,0,0,1,0,2,1,0,0,4.0,7.0,-1,-1,-1,,1,1,1,0,24,1,White
44,44,500-1000,0,1,1,1,1,1,1,1,1,1,2,1,7.0,6.0,-1,-1,-1,,1,1,2,0,26,1,Asian
45,45,100-500,1,1,2,-1,0,2,2,0,2,0,2,0,5.0,5.0,-1,-1,-1,,2,0,2,0,21,b,
46,46,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,1,26-50%,0,0,0,2,32,1,
47,47,500-1000,0,1,0,0,1,2,2,1,0,1,2,0,9.0,9.0,-1,-1,-1,,2,1,2,-1,25,1,
48,48,100-500,0,1,1,1,1,1,1,0,1,1,2,1,10.0,10.0,-1,-1,-1,,0,1,0,-1,31,0,
49,49,More than 1000,0,1,1,1,1,1,1,0,1,1,1,0,9.0,9.0,-1,-1,-1,,0,0,0,2,28,0,
50,50,More than 1000,1,1,2,1,0,1,1,1,2,0,2,0,8.0,7.0,-1,-1,-1,,1,1,1,-1,27,1,White
51,51,26-100,1,1,0,1,1,0,1,0,0,0,0,0,7.0,6.0,-1,-1,-1,,0,1,2,2,36,0,Asian
52,52,More than 1000,1,1,1,1,1,1,2,0,1,1,1,1,7.0,7.0,-1,-1,-1,,1,1,1,-1,40,1,White
53,53,500-1000,1,1,2,0,0,2,2,0,0,0,2,0,1.0,1.0,-1,-1,-1,,1,0,1,1,27,0,Asian
54,54,6-25,1,1,0,0,0,0,0,1,2,0,2,0,8.0,9.0,-1,-1,-1,,2,0,1,0,25,1,
55,55,100-500,1,1,1,1,1,1,1,1,0,0,0,0,5.0,3.0,-1,-1,-1,,0,1,0,2,31,0,Asian
56,56,100-500,1,1,0,0,0,0,0,0,1,0,1,1,10.0,9.0,-1,-1,-1,,0,1,0,1,35,1,
57,57,100-500,1,1,1,0,1,0,2,1,0,0,0,0,9.0,5.0,-1,-1,-1,,0,0,0,1,22,0,
58,58,More than 1000,1,1,1,0,0,0,2,0,1,1,2,1,5.0,2.0,-1,-1,-1,,1,1,1,1,42,0,White
59,59,More than 1000,1,1,0,0,2,0,1,0,0,0,2,0,9.0,5.0,-1,-1,-1,,2,0,0,1,38,0,
60,60,More than 1000,0,1,1,1,1,1,1,1,0,0,2,1,8.0,7.0,-1,-1,-1,,1,1,1,1,38,1,White
61,61,6-25,1,1,2,0,0,0,2,0,1,0,1,0,2.0,2.0,-1,-1,-1,,2,1,1,2,31,homem cis,
62,62,More than 1000,0,1,1,-1,1,1,2,0,2,0,2,0,6.0,7.0,-1,-1,-1,,1,1,1,-1,29,0,
63,63,26-100,1,1,-1,-1,0,0,2,1,2,0,2,1,8.0,5.0,-1,-1,-1,,1,1,1,2,44,1,White
64,64,6-25,1,0,2,0,0,1,1,2,0,0,1,0,5.0,1.0,-1,-1,-1,,0,1,0,2,21,0,
65,65,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,0,2,,1,0,0,0,63,0,
66,66,More than 1000,0,1,0,0,1,1,1,1,1,0,0,0,7.0,7.0,-1,-1,-1,,1,0,2,0,30,woman,
67,67,500-1000,0,1,1,1,1,1,2,1,2,0,0,0,8.0,8.0,-1,-1,-1,,0,0,1,-1,33,0,White
68,68,More than 1000,0,1,1,1,0,1,1,1,0,1,0,1,10.0,5.0,-1,-1,-1,,1,1,2,0,43,0,White
69,69,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,1,1-25%,1,1,1,1,20,0,
70,70,100-500,1,1,0,0,0,0,2,1,0,0,0,0,5.0,0.0,-1,-1,-1,,1,1,1,1,21,0,
71,71,26-100,0,0,1,0,0,0,2,0,2,0,0,0,9.0,9.0,-1,-1,-1,,2,1,2,2,22,0,Black or African American
72,72,More than 1000,1,1,1,0,0,1,1,1,2,0,0,0,10.0,5.0,-1,-1,-1,,0,0,0,0,23,1,
73,73,More than 1000,1,1,0,-1,1,2,2,1,0,0,2,0,5.0,4.0,-1,-1,-1,,0,0,0,2,34,0,Asian
74,74,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,1,1-25%,0,0,0,2,27,woman,
75,75,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,26-50%,1,1,1,2,25,1,
76,76,More than 1000,1,1,1,1,1,1,2,1,1,1,2,1,8.0,7.0,-1,-1,-1,,1,1,0,2,21,1,
77,77,More than 1000,1,1,1,1,1,1,2,0,1,1,1,1,8.0,8.0,-1,-1,-1,,1,1,1,2,49,0,White
78,78,100-500,0,1,2,-1,2,0,2,1,0,0,0,0,4.0,4.0,-1,-1,-1,,0,0,0,1,22,1,
79,79,More than 1000,1,1,1,1,1,2,2,1,2,0,2,1,5.0,5.0,-1,-1,-1,,1,1,1,2,35,1,White
80,80,1-5,0,1,0,-1,0,0,2,0,1,0,1,0,10.0,10.0,-1,-1,-1,,-1,0,0,0,25,1,
81,81,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,1,51-75%,0,0,1,2,38,0,
82,82,More than 1000,1,1,1,1,1,1,1,1,1,1,1,1,8.0,8.0,-1,-1,-1,,0,0,0,0,38,0,
83,83,More than 1000,1,0,1,1,1,1,1,0,1,1,1,1,7.0,7.0,-1,-1,-1,,0,0,0,0,30,0,
84,84,More than 1000,1,0,1,1,1,1,2,1,2,0,2,0,5.0,6.0,-1,-1,-1,,1,1,1,1,41,cis-het male,White
85,85,26-100,1,1,1,0,0,0,2,1,2,0,1,0,7.0,3.0,-1,-1,-1,,1,1,2,0,36,cis male,
86,86,26-100,0,1,1,1,0,0,2,0,0,0,2,1,5.0,1.0,-1,-1,-1,,1,1,2,-1,23,1,White
87,87,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,0,1,26-50%,1,1,1,0,21,0,White
88,88,6-25,0,1,2,0,0,2,1,1,2,0,2,0,9.0,9.0,-1,-1,-1,,1,1,0,-1,25,0,
89,89,6-25,1,1,0,0,0,0,2,1,0,0,0,0,0.0,0.0,-1,-1,-1,,0,0,0,-1,32,0,
90,90,26-100,1,1,-1,-1,0,0,2,1,0,0,2,0,0.0,0.0,-1,-1,-1,,1,1,1,0,41,0,
91,91,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,1-25%,1,1,2,-1,23,1,Asian
92,92,100-500,0,1,0,0,0,0,0,1,0,1,0,1,4.0,3.0,-1,-1,-1,,1,0,1,1,45,0,
93,93,More than 1000,1,1,0,0,0,0,1,1,0,0,1,1,5.0,5.0,-1,-1,-1,,0,0,0,0,23,0,
94,94,26-100,1,1,0,0,0,0,0,1,0,0,0,0,7.0,7.0,-1,-1,-1,,0,0,0,-1,21,0,
95,95,More than 1000,0,1,1,0,1,1,2,1,0,0,0,0,7.0,6.0,-1,-1,-1,,1,1,1,-1,51,0,White
96,96,More than 1000,1,1,2,0,1,2,2,0,2,0,2,0,10.0,8.0,-1,-1,-1,,0,0,0,1,21,1,
97,97,100-500,1,1,1,1,0,0,1,1,0,1,1,1,5.0,3.0,-1,-1,-1,,1,1,1,0,38,0,White
98,98,26-100,0,0,1,1,0,0,2,0,2,1,2,0,2.0,5.0,-1,-1,-1,,1,1,0,0,31,1,White
99,99,More than 1000,1,1,1,1,1,1,1,0,1,1,1,1,9.0,9.0,-1,-1,-1,,1,1,1,1,24,1,
100,100,100-500,1,1,1,1,1,2,1,1,1,0,1,0,7.0,5.0,-1,-1,-1,,0,1,1,0,29,0,White
101,101,500-1000,1,1,2,0,0,0,2,1,0,0,0,0,6.0,1.0,-1,-1,-1,,1,1,2,1,27,1,
102,102,500-1000,1,1,2,0,0,2,1,0,0,0,0,0,8.0,4.0,-1,-1,-1,,2,1,2,0,25,1,Asian
103,103,More than 1000,1,0,1,1,1,1,1,0,2,1,1,1,8.0,8.0,-1,-1,-1,,1,1,1,2,47,woman,Asian
104,104,More than 1000,1,0,1,1,1,1,1,0,2,1,2,1,5.0,2.0,-1,-1,-1,,1,1,1,2,30,1,White
105,105,More than 1000,1,1,2,0,1,2,1,1,1,0,2,1,6.0,7.0,-1,-1,-1,,1,1,1,0,33,1,White
106,106,More than 1000,1,1,1,0,1,0,2,1,0,0,2,1,5.0,5.0,-1,-1,-1,,0,1,1,1,23,non-binary,
107,107,More than 1000,1,1,1,1,2,1,1,1,2,1,2,1,6.0,5.0,-1,-1,-1,,1,1,2,0,37,0,White
108,108,More than 1000,1,0,1,1,1,1,1,0,1,0,1,1,6.0,8.0,-1,-1,-1,,1,1,1,0,30,1,White
109,109,More than 1000,1,1,1,1,1,1,1,0,1,0,1,1,7.0,6.0,-1,-1,-1,,1,1,1,0,36,non-binary/agender,White
110,110,100-500,1,1,0,0,0,0,1,1,2,0,0,1,7.0,3.0,-1,-1,-1,,1,0,1,2,42,0,
111,111,26-100,1,0,1,1,0,1,2,1,2,0,2,0,6.0,6.0,-1,-1,-1,,0,0,0,-1,40,1,Asian
112,112,More than 1000,1,1,2,1,2,0,2,1,2,0,2,1,9.0,8.0,-1,-1,-1,,0,0,0,1,23,1,
113,113,100-500,1,1,2,0,0,0,2,1,2,0,0,0,8.0,6.0,-1,-1,-1,,1,0,1,0,45,0,White
114,114,More than 1000,1,1,1,1,1,1,1,1,2,0,0,0,9.0,4.0,-1,-1,-1,,1,0,0,-1,30,0,
115,115,More than 1000,0,1,2,0,1,2,2,1,0,0,0,0,10.0,5.0,-1,-1,-1,,1,0,1,-1,34,1,
116,116,26-100,0,1,2,0,0,0,0,1,2,0,0,1,0.0,0.0,-1,-1,-1,,1,0,1,0,45,0,White
117,117,100-500,0,1,1,1,1,1,1,0,1,0,1,0,10.0,10.0,-1,-1,-1,,1,1,1,0,30,1,Black or African American
118,118,More than 1000,0,0,2,0,0,1,2,0,0,0,1,0,9.0,6.0,-1,-1,-1,,0,0,1,0,22,1,
119,119,6-25,1,1,0,-1,0,0,2,0,1,1,1,1,9.0,9.0,-1,-1,-1,,0,0,0,0,28,0,
120,120,More than 1000,1,1,0,0,0,0,2,1,0,0,0,0,7.0,6.0,-1,-1,-1,,1,0,1,0,37,0,
121,121,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,-1,,0,0,0,-1,23,0,
122,122,More than 1000,0,1,1,1,1,1,1,1,1,1,1,1,5.0,4.0,-1,-1,-1,,1,1,2,0,35,0,White
123,123,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,,0,0,0,-1,34,0,
124,124,6-25,1,1,1,1,1,1,2,0,1,0,1,0,9.0,9.0,-1,-1,-1,,0,0,0,0,46,0,White
125,125,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,0,1,26-50%,2,0,1,1,33,0,
126,126,26-100,1,1,0,0,0,0,2,1,1,0,0,1,4.0,1.0,-1,-1,-1,,1,1,2,-1,33,0,
127,127,100-500,1,1,0,-1,2,0,2,1,2,0,2,0,8.0,5.0,-1,-1,-1,,1,0,1,0,49,0,
128,128,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,1,1-25%,2,0,0,-1,28,-1,
129,129,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,1,51-75%,2,0,0,1,26,0,
130,130,26-100,1,1,2,0,0,0,0,1,2,1,2,1,8.0,5.0,-1,-1,-1,,-1,1,0,2,38,0,
