,Unnamed: 0,unnamed_0,how_many_employees_does_your_company_or_organization_have,is_your_employer_primarily_a_tech_company_organization,is_your_primary_role_within_your_company_related_to_tech_it,does_your_employer_provide_mental_health_benefits_as_part_of_healthcare_coverage,do_you_know_the_options_for_mental_health_care_available_under_your_employer_provided_health_coverage,has_your_employer_ever_formally_discussed_mental_health_for_example_as_part_of_a_wellness_campaign_or_other_official_communication,does_your_employer_offer_resources_to_learn_more_about_mental_health_disorders_and_options_for_seeking_help,is_your_anonymity_protected_if_you_choose_to_take_advantage_of_mental_health_or_substance_abuse_treatment_resources_provided_by_your_employer,you_feel_more_comfortable_talking_to_your_coworkers_about_your_physical_health_or_your_mental_health,would_you_feel_comfortable_discussing_a_mental_health_issue_with_your_direct_supervisor_s,have_you_ever_discussed_your_mental_health_with_your_employer,would_you_feel_comfortable_discussing_a_mental_health_issue_with_your_coworkers,have_you_ever_discussed_your_mental_health_with_coworkers,overall_how_much_importance_does_your_employer_place_on_physical_health,overall_how_much_importance_does_your_employer_place_on_mental_health,do_you_have_medical_coverage_private_insurance_or_state_provided_that_includes_treatment_of_mental_health_disorders,do_you_know_local_or_online_resources_to_seek_help_for_a_mental_health_issue,do_you_believe_your_productivity_is_ever_affected_by_a_mental_health_issue,if_yes_what_percentage_of_your_work_time_time_performing_primary_or_secondary_job_functions_is_affected_by_a_mental_health_issue,have_you_had_a_mental_health_disorder_in_the_past,have_you_ever_sought_treatment_for_a_mental_health_disorder_from_a_mental_health_professional,do_you_have_a_family_history_of_mental_illness,have_your_observations_of_how_another_individual_who_discussed_a_mental_health_issue_made_you_less_likely_to_reveal_a_mental_health_issue_yourself_in_your_current_workplace,what_is_your_age,what_is_your_gender,what_is_your_race,survey_year
12,12,12,More than 1000,1,1,0,0,0,0,2,0,2,1,1,1,7.0,7.0,-1,-1,-1,,0,0,0,0,23.0,0,,2017
13,13,13,More than 1000,1,1,2,0,0,2,2,1,2,0,2,0,3.0,2.0,-1,-1,-1,,-1,1,2,2,22.0,1,White,2017
14,14,14,26-100,1,0,2,-1,2,2,1,0,2,1,1,1,5.0,5.0,-1,-1,-1,,1,1,1,2,34.0,1,Black or African American,2017
15,15,15,100-500,0,1,1,0,0,2,2,1,1,0,2,0,8.0,3.0,-1,-1,-1,,0,1,0,1,28.0,0,White,2017
16,16,16,26-100,0,1,0,0,0,0,1,0,1,0,1,1,9.0,9.0,-1,-1,-1,,0,0,0,1,38.0,0,,2017
17,17,17,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,0,1,1-25%,0,0,0,-1,53.0,0,White,2017
18,18,18,6-25,1,1,2,0,0,0,2,1,2,0,2,1,4.0,3.0,-1,-1,-1,,1,0,0,0,21.0,0,,2017
19,19,19,More than 1000,0,1,2,0,0,2,2,1,2,0,2,0,4.0,3.0,-1,-1,-1,,0,0,1,-1,35.0,1,,2017
20,20,20,6-25,1,1,0,0,0,0,2,1,0,0,0,0,2.0,2.0,-1,-1,-1,,1,0,1,-1,22.0,0,,2017
21,21,21,100-500,0,0,-1,-1,1,1,1,1,1,0,1,1,7.0,7.0,-1,-1,-1,,1,1,1,-1,18.0,0,,2017
22,22,22,26-100,0,1,2,0,0,0,2,1,1,1,1,1,8.0,2.0,-1,-1,-1,,1,1,1,0,37.0,1,White,2017
23,23,23,1-5,1,1,0,-1,0,0,2,2,2,1,2,1,6.0,7.0,-1,-1,-1,,2,1,2,2,25.0,0,,2017
24,24,24,100-500,1,1,0,0,1,0,2,1,0,0,2,0,10.0,5.0,-1,-1,-1,,2,1,2,1,40.0,0,,2017
25,25,25,6-25,1,1,0,0,0,0,1,0,1,0,2,0,7.0,0.0,-1,-1,-1,,2,0,1,0,33.0,0,,2017
26,26,26,More than 1000,0,1,1,0,0,2,2,1,0,0,0,0,5.0,5.0,-1,-1,-1,,1,1,1,0,66.0,1,White,2017
27,27,27,100-500,0,1,1,1,0,0,2,1,2,0,2,1,5.0,2.0,-1,-1,-1,,1,1,1,1,31.0,1,White,2017
28,28,28,100-500,0,1,1,1,1,1,1,1,2,0,1,0,7.0,6.0,-1,-1,-1,,0,1,1,1,32.0,0,,2017
29,29,29,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,0,1,26-50%,1,1,2,2,46.0,0,White,2017
30,30,30,100-500,1,1,1,1,2,0,2,1,0,0,0,0,5.0,5.0,-1,-1,-1,,1,1,1,-1,30.0,1,White,2017
31,31,31,100-500,1,1,1,1,0,0,1,1,2,1,2,0,5.0,5.0,-1,-1,-1,,1,1,2,-1,31.0,0,Black or African American,2017
32,32,32,100-500,1,1,-1,-1,0,0,2,1,2,1,1,1,5.0,2.0,-1,-1,-1,,1,1,1,0,46.0,0,,2017
33,33,33,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,1,51-75%,1,1,2,-1,29.0,-1,,2017
34,34,34,More than 1000,0,1,-1,0,0,2,2,0,2,0,2,0,2.0,2.0,-1,-1,-1,,1,1,1,2,28.0,1,More than one of the above,2017
35,35,35,6-25,0,1,0,0,0,0,2,1,0,0,0,1,5.0,3.0,-1,-1,-1,,1,1,2,1,34.0,1,,2017
36,36,36,26-100,1,1,1,1,0,0,0,1,1,0,1,1,10.0,0.0,-1,-1,-1,,1,1,2,2,25.0,0,White,2017
37,37,37,100-500,0,1,1,1,1,1,1,1,2,0,0,0,7.0,5.0,-1,-1,-1,,1,1,2,2,35.0,0,White,2017
38,38,38,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,2,,0,0,1,2,25.0,-1,,2017
39,39,39,100-500,1,1,1,1,0,2,2,1,1,1,1,0,7.0,5.0,-1,-1,-1,,1,0,0,-1,40.0,0,White,2017
40,40,40,100-500,0,1,2,0,0,2,2,1,1,1,2,1,5.0,5.0,-1,-1,-1,,2,0,2,-1,32.0,0,I prefer not to answer,2017
41,41,41,100-500,0,1,2,0,0,2,2,1,0,0,0,0,4.0,2.0,-1,-1,-1,,1,1,1,-1,39.0,0,I prefer not to answer,2017
42,42,42,500-1000,1,1,1,1,2,2,2,1,2,0,2,1,9.0,9.0,-1,-1,-1,,1,1,1,2,33.0,0,White,2017
43,43,43,100-500,1,1,1,1,1,1,1,1,0,0,0,1,8.0,8.0,-1,-1,-1,,1,1,2,0,40.0,0,Black or African American,2017
44,44,44,500-1000,1,1,1,0,0,2,1,0,1,1,2,1,5.0,4.0,-1,-1,-1,,1,1,2,0,42.0,0,I prefer not to answer,2017
45,45,45,More than 1000,0,1,2,0,2,2,2,1,0,1,0,0,5.0,5.0,-1,-1,-1,,1,1,1,0,32.0,0,White,2017
46,46,46,More than 1000,0,1,1,1,0,1,0,1,0,1,2,1,8.0,0.0,-1,-1,-1,,1,1,2,1,27.0,1,White,2017
47,47,47,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,1,26-50%,1,1,1,1,43.0,1,,2017
48,48,48,6-25,0,1,0,-1,0,0,0,2,0,0,2,1,4.0,3.0,-1,-1,-1,,1,1,2,0,30.0,1,,2017
49,49,49,26-100,0,1,2,0,0,0,2,1,2,0,2,0,0.0,0.0,-1,-1,-1,,1,1,1,2,39.0,0,White,2017
50,50,50,6-25,1,1,1,0,0,2,2,0,0,0,1,1,6.0,7.0,-1,-1,-1,,1,1,1,0,42.0,1,White,2017
51,51,51,6-25,1,1,1,1,1,0,1,1,1,1,2,0,10.0,8.0,-1,-1,-1,,1,1,1,0,37.0,genderfluid,,2017
52,52,52,500-1000,0,1,2,1,0,2,2,1,0,1,0,0,6.0,2.0,-1,-1,-1,,1,1,1,2,38.0,1,White,2017
53,53,53,More than 1000,1,1,2,0,2,2,2,1,2,0,2,0,8.0,7.0,-1,-1,-1,,0,0,0,-1,47.0,0,,2017
54,54,54,500-1000,1,1,2,0,1,1,2,1,0,0,0,0,5.0,2.0,-1,-1,-1,,1,1,0,2,64.0,0,,2017
55,55,55,100-500,0,0,0,1,0,0,2,1,0,0,0,0,8.0,3.0,-1,-1,-1,,1,1,1,1,28.0,0,,2017
56,56,56,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,0,1,1-25%,1,1,2,2,45.0,0,White,2017
57,57,57,100-500,1,1,1,1,1,2,1,1,2,0,1,0,7.0,7.0,-1,-1,-1,,0,0,0,-1,37.0,0,,2017
58,58,58,26-100,1,1,1,1,1,1,2,2,1,1,1,1,9.0,9.0,-1,-1,-1,,1,1,1,0,30.0,1,,2017
59,59,59,100-500,0,1,2,0,0,0,2,1,1,0,1,0,5.0,5.0,-1,-1,-1,,0,0,0,0,25.0,0,,2017
60,60,60,26-100,1,1,0,-1,0,1,1,1,2,0,0,0,10.0,10.0,-1,-1,-1,,-1,0,1,0,25.0,1,,2017
61,61,61,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,1-25%,1,1,1,1,54.0,1,White,2017
62,62,62,500-1000,1,0,1,1,1,1,2,0,1,1,2,1,5.0,6.0,-1,-1,-1,,0,1,2,0,61.0,0,,2017
63,63,63,More than 1000,1,1,0,0,0,0,2,2,2,0,0,0,8.0,4.0,-1,-1,-1,,0,0,0,1,26.0,0,,2017
64,64,64,More than 1000,0,1,1,1,1,1,2,1,0,1,1,1,2.0,2.0,-1,-1,-1,,1,1,1,0,44.0,1,White,2017
65,65,65,6-25,1,1,0,0,0,0,2,1,1,0,0,1,0.0,0.0,-1,-1,-1,,1,1,2,1,26.0,0,,2017
66,66,66,26-100,1,1,1,0,0,0,2,0,1,1,2,1,9.0,7.0,-1,-1,-1,,1,1,1,1,26.0,1,,2017
67,67,67,6-25,1,1,2,0,0,2,1,0,1,0,2,0,7.0,5.0,-1,-1,-1,,1,1,2,0,35.0,1,White,2017
68,68,68,26-100,1,1,1,1,0,0,2,1,2,0,2,1,5.0,2.0,-1,-1,-1,,0,0,0,0,45.0,0,White,2017
69,69,69,26-100,1,1,2,0,0,0,2,1,1,0,1,0,3.0,2.0,-1,-1,-1,,1,0,2,0,23.0,0,White,2017
70,70,70,More than 1000,0,1,1,1,2,2,2,1,1,0,2,0,7.0,5.0,-1,-1,-1,,2,0,0,2,44.0,0,White,2017
71,71,71,More than 1000,0,1,1,0,1,1,1,0,1,0,2,1,5.0,5.0,-1,-1,-1,,1,1,2,2,38.0,0,White,2017
72,72,72,500-1000,0,1,1,1,1,1,1,0,1,1,1,0,8.0,8.0,-1,-1,-1,,1,1,1,0,46.0,0,White,2017
73,73,73,500-1000,0,1,1,0,1,2,2,1,2,1,0,0,5.0,5.0,-1,-1,-1,,1,1,2,1,27.0,nonbinary,White,2017
74,74,74,100-500,0,1,1,1,2,1,1,1,2,1,2,1,7.0,2.0,-1,-1,-1,,1,1,1,0,39.0,1,I prefer not to answer,2017
75,75,75,26-100,1,1,2,0,0,0,2,1,0,0,0,0,10.0,2.0,-1,-1,-1,,1,1,1,1,33.0,1,White,2017
76,76,76,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,1-25%,1,1,1,2,38.0,1,,2017
77,77,77,26-100,0,1,-1,-1,0,0,2,1,0,0,0,0,9.0,4.0,-1,-1,-1,,0,0,0,-1,35.0,0,,2017
78,78,78,More than 1000,1,1,0,0,0,0,2,1,0,1,2,1,7.0,3.0,-1,-1,-1,,1,1,0,2,32.0,0,,2017
79,79,79,More than 1000,1,1,1,1,2,0,2,1,0,1,0,0,5.0,5.0,-1,-1,-1,,1,0,2,-1,26.0,1,Asian,2017
80,80,80,100-500,1,1,1,1,0,2,2,1,2,0,2,0,4.0,3.0,-1,-1,-1,,1,1,1,1,50.0,cis-male,,2017
81,81,81,100-500,1,1,2,1,2,2,2,1,1,0,1,0,9.0,8.0,-1,-1,-1,,1,1,1,-1,31.0,0,White,2017
82,82,82,More than 1000,1,1,2,0,1,2,2,1,2,0,2,0,8.0,3.0,-1,-1,-1,,0,0,1,0,46.0,0,,2017
83,83,83,26-100,1,1,1,0,0,0,1,1,0,0,2,0,7.0,4.0,-1,-1,-1,,1,1,1,2,30.0,0,White,2017
84,84,84,More than 1000,1,1,1,0,0,2,2,1,2,0,2,0,8.0,5.0,-1,-1,-1,,1,1,2,0,30.0,0,White,2017
85,85,85,100-500,1,1,0,0,0,0,2,1,1,1,2,1,8.0,4.0,-1,-1,-1,,1,1,0,-1,34.0,0,,2017
86,86,86,More than 1000,0,0,1,1,1,1,1,0,0,0,0,0,8.0,4.0,-1,-1,-1,,0,0,0,2,42.0,0,,2017
87,87,87,More than 1000,1,1,1,1,1,1,0,1,2,1,2,0,8.0,6.0,-1,-1,-1,,1,1,1,0,24.0,1,White,2017
88,88,88,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,26-50%,1,1,1,1,30.0,0,White,2017
89,89,89,26-100,1,1,1,1,1,2,2,0,2,1,1,1,8.0,7.0,-1,-1,-1,,2,0,2,-1,23.0,0,,2017
90,90,90,100-500,1,1,1,1,0,0,2,1,0,0,0,1,10.0,6.0,-1,-1,-1,,1,1,1,1,31.0,1,White,2017
91,91,91,26-100,1,1,0,0,0,0,2,1,0,0,2,0,2.0,6.0,-1,-1,-1,,0,0,2,2,31.0,0,,2017
92,92,92,100-500,1,1,1,1,0,2,2,1,2,1,1,1,5.0,4.0,-1,-1,-1,,1,1,1,1,27.0,woman,White,2017
93,93,93,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,2,,1,0,0,2,26.0,0,,2017
94,94,94,500-1000,0,1,1,1,0,1,2,1,2,0,0,0,10.0,1.0,-1,-1,-1,,0,0,1,1,52.0,1,White,2017
95,95,95,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,1,76-100%,0,0,0,2,28.0,0,,2017
96,96,96,1-5,1,1,0,0,0,2,2,1,0,0,0,0,4.0,5.0,-1,-1,-1,,2,0,2,-1,37.0,0,White,2017
97,97,97,500-1000,0,1,0,-1,1,1,0,1,2,0,2,0,6.0,7.0,-1,-1,-1,,1,0,0,0,37.0,0,,2017
98,98,98,More than 1000,0,1,1,1,0,0,1,0,1,0,1,0,8.0,4.0,-1,-1,-1,,1,1,1,2,38.0,0,White,2017
99,99,99,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,26-50%,1,1,1,0,57.0,1,White,2017
100,100,100,More than 1000,1,1,1,1,2,2,2,1,1,1,2,1,7.0,5.0,-1,-1,-1,,0,1,1,0,34.0,0,White,2017
101,101,101,More than 1000,1,1,1,1,0,1,2,0,0,0,0,0,5.0,5.0,-1,-1,-1,,1,1,1,1,38.0,1,,2017
102,102,102,26-100,1,1,2,0,0,2,1,1,2,0,2,0,4.0,5.0,-1,-1,-1,,0,1,2,-1,30.0,0,White,2017
103,103,103,More than 1000,0,1,1,1,1,2,1,1,0,0,0,0,8.0,7.0,-1,-1,-1,,2,0,0,1,52.0,0,,2017
104,104,104,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,26-50%,1,1,0,0,31.0,1,White,2017
105,105,105,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,0,1,1-25%,1,0,2,0,29.0,0,,2017
106,106,106,6-25,1,1,2,0,0,0,2,1,0,0,0,0,1.0,1.0,-1,-1,-1,,0,0,1,2,26.0,1,,2017
107,107,107,26-100,0,0,1,0,0,0,1,1,1,0,0,0,7.0,5.0,-1,-1,-1,,1,1,2,2,29.0,1,White,2017
108,108,108,More than 1000,1,1,1,1,0,0,1,1,1,1,2,1,8.0,5.0,-1,-1,-1,,1,1,1,1,44.0,0,White,2017
109,109,109,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,2,,2,0,2,2,18.0,0,,2017
110,110,110,More than 1000,1,1,-1,-1,1,2,1,0,1,1,1,1,7.0,7.0,-1,-1,-1,,1,1,1,0,42.0,0,,2017
111,111,111,6-25,0,1,1,1,0,0,1,1,0,0,0,0,7.0,6.0,-1,-1,-1,,1,1,1,2,30.0,0,White,2017
112,112,112,100-500,1,0,1,0,1,1,2,0,1,1,1,1,6.0,7.0,-1,-1,-1,,1,1,2,-1,29.0,0,White,2017
113,113,113,More than 1000,1,1,1,1,1,1,2,0,1,1,2,0,7.0,4.0,-1,-1,-1,,1,1,1,0,27.0,1,White,2017
114,114,114,More than 1000,1,1,1,1,1,1,1,1,2,1,2,1,9.0,7.0,-1,-1,-1,,1,1,1,1,39.0,0,White,2017
115,115,115,100-500,1,1,1,1,1,0,1,1,1,1,0,1,5.0,5.0,-1,-1,-1,,0,1,1,0,40.0,1,,2017
116,116,116,More than 1000,1,1,1,1,1,1,1,1,2,0,2,1,7.0,4.0,-1,-1,-1,,1,1,1,0,36.0,1,Asian,2017
117,117,117,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,0,,0,0,0,1,48.0,1,White,2017
118,118,118,More than 1000,1,1,1,1,1,1,1,0,1,0,2,0,7.0,7.0,-1,-1,-1,,2,0,0,0,43.0,0,White,2017
119,119,119,100-500,1,1,1,1,2,1,1,1,2,1,2,1,8.0,6.0,-1,-1,-1,,1,1,1,1,38.0,0,White,2017
120,120,120,26-100,1,1,2,0,0,0,2,0,1,0,1,0,6.0,6.0,-1,-1,-1,,1,1,2,0,42.0,0,White,2017
121,121,121,500-1000,1,1,0,-1,1,1,1,1,2,1,1,1,8.0,5.0,-1,-1,-1,,1,1,2,2,46.0,0,,2017
122,122,122,More than 1000,0,0,1,1,0,1,1,1,0,0,1,1,5.0,7.0,-1,-1,-1,,-1,1,1,0,30.0,0,White,2017
123,123,123,6-25,0,1,0,1,0,0,0,1,0,0,1,1,4.0,0.0,-1,-1,-1,,1,1,1,1,25.0,0,,2017
124,124,124,500-1000,1,1,1,1,1,1,1,0,2,0,2,0,9.0,9.0,-1,-1,-1,,0,0,1,-1,28.0,-1,,2017
125,125,125,100-500,1,1,1,1,0,0,2,0,2,0,1,1,5.0,5.0,-1,-1,-1,,1,1,1,1,24.0,1,,2017
126,126,126,1-5,1,1,2,0,0,0,2,1,1,0,0,0,3.0,6.0,-1,-1,-1,,0,0,1,0,26.0,0,,2017
127,127,127,More than 1000,1,1,1,1,0,1,2,1,2,0,2,1,5.0,1.0,-1,-1,-1,,1,1,1,1,43.0,cis hetero male,White,2017
128,128,128,More than 1000,0,1,1,1,0,1,2,1,0,0,0,0,8.0,5.0,-1,-1,-1,,1,1,2,2,25.0,1,I prefer not to answer,2017
129,129,129,More than 1000,0,1,1,0,1,2,2,1,0,0,0,0,7.0,6.0,-1,-1,-1,,1,0,1,-1,34.0,0,White,2017
130,130,130,26-100,1,1,1,1,1,2,1,1,0,0,1,1,8.0,8.0,-1,-1,-1,,0,0,0,-1,28.0,1,Asian,2017
131,131,131,26-100,1,1,0,-1,0,0,1,1,1,1,2,1,5.0,5.0,-1,-1,-1,,1,1,2,0,27.0,0,,2017
132,132,132,26-100,1,1,0,0,1,1,1,1,2,0,1,0,6.0,8.0,-1,-1,-1,,2,0,0,0,22.0,0,,2017
133,133,133,26-100,1,1,2,0,0,1,1,1,0,0,1,0,8.0,5.0,-1,-1,-1,,0,0,1,-1,24.0,1,,2017
134,134,134,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,1,76-100%,-1,0,0,1,33.0,1,,2017
135,135,135,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,0,0,,1,1,0,0,41.0,0,,2017
136,136,136,26-100,1,1,0,-1,0,2,2,1,0,0,0,0,2.0,1.0,-1,-1,-1,,1,0,2,-1,26.0,1,,2017
137,137,137,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,1,1-25%,1,1,2,2,39.0,0,White,2017
138,138,138,1-5,1,1,2,0,0,0,2,1,2,1,2,0,1.0,7.0,-1,-1,-1,,1,0,0,-1,24.0,0,White,2017
139,139,139,More than 1000,1,1,2,0,0,0,2,1,0,1,1,1,5.0,3.0,-1,-1,-1,,1,1,2,2,54.0,0,White,2017
140,140,140,More than 1000,0,1,1,1,1,1,2,1,1,1,1,1,7.0,5.0,-1,-1,-1,,1,1,1,1,47.0,0,White,2017
141,141,141,More than 1000,1,1,0,-1,0,0,2,0,1,1,1,0,8.0,5.0,-1,-1,-1,,0,0,0,0,33.0,0,,2017
142,142,142,100-500,1,1,1,1,0,0,1,0,1,1,1,1,6.0,3.0,-1,-1,-1,,0,1,1,0,30.0,-1,White,2017
143,143,143,More than 1000,0,1,1,1,0,2,2,1,0,0,2,0,5.0,5.0,-1,-1,-1,,1,1,2,0,48.0,0,White,2017
144,144,144,More than 1000,1,1,2,0,2,1,1,1,1,1,1,1,6.0,3.0,-1,-1,-1,,1,1,1,0,35.0,0,White,2017
145,145,145,26-100,0,1,2,0,0,2,2,0,1,0,1,0,5.0,5.0,-1,-1,-1,,0,0,2,0,34.0,0,White,2017
146,146,146,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,,0,0,0,0,31.0,0,,2017
147,147,147,500-1000,1,1,1,1,0,0,1,1,2,0,2,1,8.0,7.0,-1,-1,-1,,1,0,1,-1,25.0,0,White,2017
148,148,148,More than 1000,1,1,0,0,0,0,2,1,0,0,2,1,5.0,5.0,-1,-1,-1,,1,1,1,2,48.0,0,,2017
149,149,149,100-500,0,1,1,0,1,2,2,1,2,0,0,0,7.0,5.0,-1,-1,-1,,1,1,2,2,34.0,0,White,2017
150,150,150,100-500,1,1,1,1,0,0,2,1,0,0,0,0,2.0,1.0,-1,-1,-1,,1,1,1,1,42.0,0,White,2017
151,151,151,100-500,1,1,2,0,0,0,2,1,2,0,1,1,5.0,5.0,-1,-1,-1,,1,1,1,0,27.0,0,White,2017
152,152,152,More than 1000,1,1,1,1,0,0,1,0,1,1,2,0,8.0,5.0,-1,-1,-1,,0,1,1,0,33.0,1,White,2017
153,153,153,26-100,1,1,1,1,0,2,2,1,2,0,1,1,5.0,4.0,-1,-1,-1,,1,1,2,0,27.0,1,Black or African American,2017
154,154,154,500-1000,1,1,1,0,0,0,2,0,0,0,1,0,4.0,3.0,-1,-1,-1,,1,0,2,-1,48.0,0,White,2017
155,155,155,More than 1000,1,1,1,1,0,0,1,0,2,1,2,1,5.0,3.0,-1,-1,-1,,1,1,2,1,32.0,1,White,2017
156,156,156,100-500,1,1,1,0,1,2,2,0,2,1,1,1,7.0,6.0,-1,-1,-1,,1,1,1,0,29.0,0,White,2017
157,157,157,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,1-25%,-1,1,1,2,36.0,1,Asian,2017
158,158,158,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,1,1-25%,1,1,2,-1,29.0,1,,2017
159,159,159,100-500,1,1,2,0,0,0,2,1,1,0,2,0,7.0,7.0,-1,-1,-1,,1,0,0,2,23.0,1,,2017
160,160,160,More than 1000,0,1,1,0,2,1,1,1,2,0,0,1,7.0,7.0,-1,-1,-1,,1,0,2,1,50.0,1,White,2017
161,161,161,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,0,,0,0,0,2,24.0,1,,2017
162,162,162,6-25,1,1,0,0,0,0,2,1,0,0,0,0,6.0,5.0,-1,-1,-1,,0,0,0,0,29.0,1,,2017
163,163,163,More than 1000,0,1,1,0,2,2,2,0,2,0,2,1,9.0,7.0,-1,-1,-1,,1,0,1,0,42.0,1,White,2017
164,164,164,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,1-25%,1,1,0,0,35.0,0,,2017
165,165,165,100-500,1,1,2,0,0,2,2,1,2,0,2,0,9.0,5.0,-1,-1,-1,,0,0,2,-1,22.0,0,White,2017
166,166,166,500-1000,1,1,1,1,1,1,2,0,1,0,1,1,10.0,10.0,-1,-1,-1,,1,1,2,0,39.0,1,White,2017
167,167,167,6-25,1,1,1,0,0,0,2,0,1,0,1,1,5.0,5.0,-1,-1,-1,,1,1,1,0,29.0,1,,2017
