,unnamed_0,how_many_employees_does_your_company_or_organization_have,is_your_employer_primarily_a_tech_company_organization,is_your_primary_role_within_your_company_related_to_tech_it,does_your_employer_provide_mental_health_benefits_as_part_of_healthcare_coverage,do_you_know_the_options_for_mental_health_care_available_under_your_employer_provided_health_coverage,has_your_employer_ever_formally_discussed_mental_health_for_example_as_part_of_a_wellness_campaign_or_other_official_communication,does_your_employer_offer_resources_to_learn_more_about_mental_health_disorders_and_options_for_seeking_help,is_your_anonymity_protected_if_you_choose_to_take_advantage_of_mental_health_or_substance_abuse_treatment_resources_provided_by_your_employer,you_feel_more_comfortable_talking_to_your_coworkers_about_your_physical_health_or_your_mental_health,would_you_feel_comfortable_discussing_a_mental_health_issue_with_your_direct_supervisor_s,have_you_ever_discussed_your_mental_health_with_your_employer,would_you_feel_comfortable_discussing_a_mental_health_issue_with_your_coworkers,have_you_ever_discussed_your_mental_health_with_coworkers,overall_how_much_importance_does_your_employer_place_on_physical_health,overall_how_much_importance_does_your_employer_place_on_mental_health,do_you_have_medical_coverage_private_insurance_or_state_provided_that_includes_treatment_of_mental_health_disorders,do_you_know_local_or_online_resources_to_seek_help_for_a_mental_health_issue,do_you_believe_your_productivity_is_ever_affected_by_a_mental_health_issue,if_yes_what_percentage_of_your_work_time_time_performing_primary_or_secondary_job_functions_is_affected_by_a_mental_health_issue,have_you_had_a_mental_health_disorder_in_the_past,have_you_ever_sought_treatment_for_a_mental_health_disorder_from_a_mental_health_professional,do_you_have_a_family_history_of_mental_illness,have_your_observations_of_how_another_individual_who_discussed_a_mental_health_issue_made_you_less_likely_to_reveal_a_mental_health_issue_yourself_in_your_current_workplace,what_is_your_age,what_is_your_gender,what_is_your_race
12,12,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,1,1-25%,0,0,1,0,40,1,
13,13,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,1,76-100%,1,1,1,2,36,1,White
14,14,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,2,,1,1,2,2,30,0,
15,15,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,2,,1,0,1,2,22,0,
16,16,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,1-25%,1,1,1,0,21,1,White
17,17,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,1,26-50%,1,1,1,-1,46,0,White
18,18,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,1,26-50%,1,1,0,1,63,0,
19,19,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,0,1,1,76-100%,2,0,0,-1,20,0,
20,20,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,2,,1,1,0,2,24,0,
21,21,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,26-50%,1,0,2,1,44,0,
22,22,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,0,1,26-50%,1,1,2,2,35,0,
23,23,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,-1,,0,0,0,-1,30,1,
24,24,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,26-50%,1,1,2,0,23,1,
25,25,More than 1000,0,1,1,0,1,1,2,1,1,0,2,0,4.0,4.0,-1,-1,-1,,1,0,1,2,26,0,White
26,26,500-1000,1,1,0,0,2,1,2,2,2,0,1,1,8.0,8.0,-1,-1,-1,,0,0,0,-1,32,0,
27,27,6-25,1,1,2,0,0,0,2,1,0,0,0,1,4.0,2.0,-1,-1,-1,,0,0,2,1,34,0,More than one of the above
28,28,26-100,1,1,1,1,2,2,2,1,1,1,2,1,8.0,8.0,-1,-1,-1,,1,1,1,0,44,1,White
29,29,500-1000,1,1,0,0,0,1,1,1,0,0,0,0,8.0,6.0,-1,-1,-1,,0,1,0,1,33,0,
30,30,More than 1000,1,1,1,0,1,1,1,1,2,1,2,1,8.0,8.0,-1,-1,-1,,0,1,2,1,38,0,
31,31,More than 1000,0,1,2,0,0,0,1,2,1,0,0,0,10.0,0.0,-1,-1,-1,,0,0,0,1,45,0,Asian
32,32,More than 1000,1,1,1,1,1,1,1,1,2,0,2,0,9.0,9.0,-1,-1,-1,,0,0,0,0,27,1,
33,33,26-100,1,1,2,0,2,0,1,0,2,0,0,0,5.0,5.0,-1,-1,-1,,2,0,2,-1,21,0,
34,34,More than 1000,1,1,2,0,0,0,2,1,0,0,0,0,8.0,4.0,-1,-1,-1,,0,0,0,-1,30,1,Asian
35,35,More than 1000,0,1,2,0,0,0,1,0,1,0,2,0,10.0,9.0,-1,-1,-1,,0,0,0,0,44,0,
36,36,More than 1000,0,1,1,1,1,1,2,1,0,0,2,1,6.0,5.0,-1,-1,-1,,0,0,0,1,32,0,
37,37,More than 1000,1,1,1,0,1,1,1,1,0,0,0,0,8.0,8.0,-1,-1,-1,,0,0,0,1,39,1,
38,38,100-500,0,1,0,1,0,0,2,1,0,0,0,0,5.0,4.0,-1,-1,-1,,1,1,2,2,27,woman,
39,39,More than 1000,1,1,1,1,1,1,2,1,1,1,2,1,8.0,7.0,-1,-1,-1,,1,1,2,1,34,0,
40,40,26-100,1,1,0,0,0,0,2,0,0,0,2,0,8.0,3.0,-1,-1,-1,,0,0,0,2,30,0,
41,41,26-100,1,1,0,-1,0,0,2,1,0,0,1,1,5.0,3.0,-1,-1,-1,,1,1,2,1,24,0,
42,42,More than 1000,1,1,-1,0,0,2,2,2,0,0,0,0,8.0,5.0,-1,-1,-1,,0,0,0,0,50,0,
43,43,More than 1000,1,1,1,1,1,1,2,0,1,0,2,0,8.0,7.0,-1,-1,-1,,0,0,0,-1,27,0,White
44,44,100-500,1,1,1,0,1,2,1,1,0,0,1,0,6.0,5.0,-1,-1,-1,,1,1,1,0,28,0,
45,45,More than 1000,1,1,2,0,0,0,2,0,0,0,1,0,6.0,7.0,-1,-1,-1,,0,0,0,-1,27,1,
46,46,500-1000,1,1,2,0,0,0,1,1,2,0,0,0,10.0,7.0,-1,-1,-1,,1,1,1,0,34,0,White
47,47,100-500,1,1,0,0,0,0,2,1,0,0,1,1,7.0,6.0,-1,-1,-1,,2,0,2,2,42,0,
48,48,500-1000,1,1,1,1,1,1,0,0,2,0,2,1,8.0,8.0,-1,-1,-1,,-1,0,0,2,22,-1,
49,49,100-500,1,1,0,0,0,0,0,1,0,0,0,0,4.0,0.0,-1,-1,-1,,0,0,0,0,28,1,
50,50,26-100,1,1,1,1,1,1,1,0,1,0,1,0,8.0,8.0,-1,-1,-1,,0,0,0,0,36,0,Asian
51,51,More than 1000,0,0,0,1,1,0,2,1,0,0,0,0,3.0,3.0,-1,-1,-1,,0,0,0,-1,41,0,
52,52,6-25,1,1,1,1,0,0,2,1,2,1,2,1,7.0,4.0,-1,-1,-1,,1,1,1,0,30,0,White
53,53,100-500,0,1,2,0,1,1,1,0,2,0,2,0,9.0,9.0,-1,-1,-1,,2,0,2,2,34,0,
54,54,More than 1000,0,0,2,0,1,0,2,1,0,0,2,0,5.0,3.0,-1,-1,-1,,1,0,0,1,23,1,
55,55,More than 1000,0,1,0,-1,0,0,2,2,2,0,2,1,3.0,4.0,-1,-1,-1,,1,0,0,2,29,1,
56,56,500-1000,0,1,1,1,0,1,1,1,0,0,0,0,6.0,5.0,-1,-1,-1,,1,1,0,1,58,0,White
57,57,100-500,0,1,2,0,0,0,2,1,2,0,2,1,7.0,5.0,-1,-1,-1,,0,0,0,0,40,0,
58,58,100-500,1,1,-1,0,0,0,2,1,0,1,2,1,7.0,2.0,-1,-1,-1,,1,1,1,0,32,0,
59,59,100-500,1,1,2,0,2,2,2,1,2,0,2,1,7.0,7.0,-1,-1,-1,,1,0,1,0,30,0,
60,60,500-1000,0,1,1,1,1,1,2,0,1,1,1,1,7.0,7.0,-1,-1,-1,,1,1,1,0,33,1,White
61,61,26-100,0,0,2,0,0,1,1,2,1,1,1,1,4.0,6.0,-1,-1,-1,,1,1,0,0,22,1,
62,62,More than 1000,1,1,1,0,2,1,1,1,2,0,0,0,10.0,6.0,-1,-1,-1,,1,1,0,0,30,1,Asian
63,63,6-25,1,1,0,-1,0,0,0,0,0,1,1,1,0.0,0.0,-1,-1,-1,,1,1,1,1,34,0,
64,64,6-25,0,1,1,0,1,1,2,1,1,1,1,0,5.0,5.0,-1,-1,-1,,2,1,2,0,44,0,White
65,65,26-100,1,1,1,1,0,2,2,1,2,1,2,1,7.0,5.0,-1,-1,-1,,1,1,2,0,30,0,White
66,66,100-500,0,1,1,1,1,1,1,1,0,0,2,0,7.0,5.0,-1,-1,-1,,1,1,2,1,39,0,White
67,67,500-1000,1,1,1,1,0,0,2,1,2,0,1,0,3.0,3.0,-1,-1,-1,,1,0,0,0,48,0,
68,68,26-100,0,1,2,0,0,0,2,1,0,0,0,0,7.0,4.0,-1,-1,-1,,1,1,1,1,26,0,White
69,69,26-100,0,1,2,1,0,1,1,1,2,0,2,0,2.0,5.0,-1,-1,-1,,1,1,1,0,28,1,
70,70,More than 1000,1,1,1,0,2,2,1,1,1,0,2,0,6.0,5.0,-1,-1,-1,,1,1,2,-1,36,0,White
71,71,6-25,1,1,2,0,0,0,2,1,2,0,2,0,5.0,0.0,-1,-1,-1,,0,0,0,2,37,0,
72,72,More than 1000,1,1,1,1,0,2,2,1,2,1,2,1,6.0,2.0,-1,-1,-1,,1,1,1,-1,42,0,White
73,73,More than 1000,1,1,1,1,0,0,2,1,0,0,0,1,5.0,3.0,-1,-1,-1,,2,1,1,2,31,0,
74,74,More than 1000,0,1,2,-1,0,2,2,0,1,0,0,0,7.0,5.0,-1,-1,-1,,0,0,2,-1,22,0,
75,75,100-500,1,1,2,0,0,0,0,0,0,0,2,1,8.0,5.0,-1,-1,-1,,1,1,1,0,40,0,
76,76,More than 1000,1,1,1,1,1,1,1,1,0,0,0,0,10.0,9.0,-1,-1,-1,,0,0,0,-1,50,0,I prefer not to answer
77,77,More than 1000,1,1,2,0,1,2,2,1,2,0,0,0,8.0,6.0,-1,-1,-1,,0,0,0,-1,31,1,
78,78,More than 1000,1,1,1,1,1,1,1,1,1,1,1,1,8.0,7.0,-1,-1,-1,,1,1,1,0,29,1,
79,79,100-500,0,0,0,0,0,0,2,1,0,0,0,0,7.0,5.0,-1,-1,-1,,2,0,0,0,40,0,
80,80,More than 1000,0,1,0,0,0,0,2,1,2,0,0,0,7.0,3.0,-1,-1,-1,,0,0,0,0,33,1,
81,81,26-100,1,1,2,0,2,0,2,1,0,0,2,0,5.0,5.0,-1,-1,-1,,0,0,0,1,29,0,
82,82,More than 1000,1,1,2,0,1,1,2,1,2,1,2,0,6.0,6.0,-1,-1,-1,,0,0,0,0,27,1,White
83,83,More than 1000,1,1,1,1,1,2,1,0,2,0,2,1,8.0,9.0,-1,-1,-1,,1,1,1,1,36,0,White
84,84,More than 1000,0,1,1,1,1,1,2,1,2,0,2,1,5.0,4.0,-1,-1,-1,,0,0,0,0,33,1,White
85,85,6-25,1,1,2,-1,0,0,2,1,0,0,0,0,8.0,2.0,-1,-1,-1,,2,0,1,0,40,0,
86,86,26-100,1,1,1,1,1,1,1,0,1,1,1,1,7.0,7.0,-1,-1,-1,,0,0,1,0,42,0,
87,87,500-1000,1,1,2,0,0,2,2,1,2,1,2,1,4.0,4.0,-1,-1,-1,,1,1,1,0,31,0,
88,88,More than 1000,0,1,1,1,1,1,2,1,1,0,2,1,10.0,7.0,-1,-1,-1,,2,0,0,2,35,1,
89,89,More than 1000,0,1,1,1,1,1,1,1,2,0,2,0,8.0,8.0,-1,-1,-1,,1,1,2,1,46,0,White
90,90,100-500,1,1,1,1,1,2,2,1,1,1,2,1,9.0,7.0,-1,-1,-1,,1,1,1,2,54,1,White
91,91,500-1000,0,1,2,0,0,0,2,0,2,0,2,0,5.0,5.0,-1,-1,-1,,0,0,0,-1,33,0,
92,92,100-500,1,1,0,0,0,0,0,1,0,0,1,1,7.0,2.0,-1,-1,-1,,0,0,2,0,40,1,
93,93,100-500,0,1,2,0,1,1,1,1,1,0,1,0,9.0,6.0,-1,-1,-1,,0,0,0,-1,23,1,
94,94,500-1000,1,1,2,0,0,0,2,1,2,0,0,0,5.0,4.0,-1,-1,-1,,1,0,1,1,32,0,White
95,95,More than 1000,1,1,1,1,1,1,1,1,0,0,2,0,8.0,8.0,-1,-1,-1,,1,1,1,0,26,woman,Asian
96,96,More than 1000,0,1,1,0,1,0,1,1,1,0,2,0,9.0,8.0,-1,-1,-1,,0,0,0,1,30,0,
97,97,More than 1000,1,1,0,-1,1,2,2,0,2,0,0,0,6.0,6.0,-1,-1,-1,,0,0,0,-1,30,0,
98,98,26-100,1,1,1,0,1,0,1,0,2,1,2,1,9.0,7.0,-1,-1,-1,,1,1,0,2,44,0,White
99,99,100-500,1,1,-1,0,2,2,2,1,0,0,0,1,8.0,5.0,-1,-1,-1,,1,1,0,0,37,0,White
100,100,More than 1000,1,1,2,0,0,0,0,0,1,0,1,1,5.0,5.0,-1,-1,-1,,0,0,0,2,37,0,
101,101,500-1000,1,1,1,0,1,0,2,1,0,0,0,0,5.0,2.0,-1,-1,-1,,0,0,0,2,29,1,
102,102,26-100,1,1,1,0,0,0,2,1,1,0,0,1,8.0,8.0,-1,-1,-1,,1,1,2,2,39,0,White
103,103,6-25,1,1,2,-1,0,2,2,0,2,1,0,1,10.0,10.0,-1,-1,-1,,1,1,0,0,20,0,
104,104,100-500,1,1,2,0,0,2,2,1,0,0,0,0,0.0,0.0,-1,-1,-1,,1,0,0,-1,44,0,White
105,105,26-100,1,1,0,1,0,0,0,1,0,0,2,0,5.0,2.0,-1,-1,-1,,1,0,0,2,23,0,
106,106,More than 1000,1,1,1,0,1,1,1,1,1,0,2,0,10.0,10.0,-1,-1,-1,,0,0,1,-1,22,1,Asian
107,107,More than 1000,1,1,2,0,0,1,2,1,0,0,0,0,8.0,8.0,-1,-1,-1,,0,0,0,-1,31,1,Asian
108,108,26-100,0,1,1,1,1,1,1,1,2,0,2,0,7.0,6.0,-1,-1,-1,,1,1,2,-1,59,0,White
109,109,More than 1000,0,1,0,-1,1,1,1,1,0,0,0,0,10.0,10.0,-1,-1,-1,,0,0,0,0,30,1,
110,110,26-100,0,1,1,1,1,0,1,1,1,0,2,0,6.0,7.0,-1,-1,-1,,1,1,1,0,48,1,White
111,111,More than 1000,1,1,2,0,2,2,1,1,0,0,0,0,8.0,2.0,-1,-1,-1,,1,1,0,1,30,1,
112,112,More than 1000,1,1,1,1,0,0,1,1,0,0,0,0,7.0,4.0,-1,-1,-1,,0,0,0,2,23,0,
113,113,500-1000,0,1,1,0,0,0,1,1,0,0,0,0,5.0,3.0,-1,-1,-1,,0,0,0,0,27,0,Asian
114,114,26-100,1,1,2,0,0,0,2,1,0,0,2,0,7.0,5.0,-1,-1,-1,,1,1,1,1,53,1,White
115,115,500-1000,0,1,2,-1,0,2,2,1,2,0,2,0,7.0,6.0,-1,-1,-1,,0,0,0,2,62,0,White
116,116,More than 1000,1,1,1,1,0,2,2,1,2,0,1,1,7.0,7.0,-1,-1,-1,,1,1,1,0,32,0,White
117,117,More than 1000,1,0,0,0,0,0,2,1,2,1,1,1,7.0,0.0,-1,-1,-1,,1,1,0,1,34,0,
118,118,More than 1000,0,1,2,0,0,0,2,1,0,0,0,0,8.0,4.0,-1,-1,-1,,1,0,1,0,29,0,
119,119,More than 1000,0,1,2,-1,2,2,2,1,1,0,2,0,7.0,6.0,-1,-1,-1,,0,0,0,2,32,1,
120,120,500-1000,0,1,0,0,0,0,1,0,1,0,1,0,5.0,4.0,-1,-1,-1,,1,0,0,2,46,0,
121,121,More than 1000,1,1,0,-1,0,0,0,0,1,1,1,1,2.0,3.0,-1,-1,-1,,1,1,1,0,42,0,
122,122,26-100,1,1,0,-1,0,0,0,1,0,1,2,1,8.0,5.0,-1,-1,-1,,1,1,2,2,32,0,
123,123,More than 1000,0,0,2,1,0,2,2,0,1,0,2,0,7.0,4.0,-1,-1,-1,,1,1,1,0,28,0,
124,124,6-25,1,1,0,-1,1,2,1,1,1,1,0,0,10.0,10.0,-1,-1,-1,,1,1,1,0,45,0,White
125,125,26-100,1,1,0,-1,0,2,1,0,2,1,1,1,4.0,3.0,-1,-1,-1,,1,1,0,0,29,1,
126,126,More than 1000,0,0,1,1,1,0,2,1,0,0,0,1,7.0,6.0,-1,-1,-1,,1,1,0,1,27,0,
127,127,6-25,1,1,0,-1,0,0,2,0,1,1,1,1,5.0,5.0,-1,-1,-1,,0,1,0,0,47,0,
128,128,100-500,1,1,2,0,1,1,2,1,2,0,0,0,10.0,10.0,-1,-1,-1,,0,0,2,-1,24,1,
129,129,More than 1000,0,1,1,1,0,1,2,1,0,0,0,0,5.0,5.0,-1,-1,-1,,2,1,1,2,32,1,Black or African American
130,130,100-500,0,1,1,1,1,0,2,0,0,0,1,1,8.0,7.0,-1,-1,-1,,1,0,2,0,26,0,Asian
131,131,100-500,0,1,0,-1,0,0,1,1,1,1,1,1,7.0,4.0,-1,-1,-1,,1,1,1,0,34,0,
132,132,26-100,1,1,1,0,0,0,2,0,1,0,1,1,5.0,5.0,-1,-1,-1,,0,0,2,-1,45,cisgender male,White
133,133,More than 1000,1,1,1,1,1,1,1,1,2,0,2,1,8.0,9.0,-1,-1,-1,,0,0,0,0,21,1,Asian
134,134,100-500,0,0,0,0,0,0,2,1,0,0,2,0,8.0,2.0,-1,-1,-1,,0,0,0,2,44,1,
135,135,More than 1000,1,1,2,0,2,1,2,1,0,0,2,0,10.0,5.0,-1,-1,-1,,1,0,0,2,47,0,
136,136,More than 1000,1,1,-1,0,0,0,2,0,2,0,2,0,3.0,2.0,-1,-1,-1,,2,0,1,-1,40,0,
137,137,100-500,0,0,2,0,2,2,2,1,0,0,0,0,10.0,5.0,-1,-1,-1,,0,0,0,2,25,1,
138,138,More than 1000,1,1,1,1,1,2,2,1,2,1,0,1,8.0,5.0,-1,-1,-1,,1,1,1,-1,24,1,White
139,139,More than 1000,1,1,1,0,1,1,2,1,2,0,2,1,7.0,7.0,-1,-1,-1,,0,0,0,1,26,1,
140,140,6-25,1,1,0,-1,0,0,0,1,0,0,0,0,6.0,2.0,-1,-1,-1,,1,0,2,0,31,0,
141,141,500-1000,1,1,0,-1,1,0,2,1,0,0,0,0,7.0,2.0,-1,-1,-1,,0,0,0,-1,26,1,
142,142,More than 1000,0,0,2,0,1,1,1,1,0,0,1,0,7.0,7.0,-1,-1,-1,,0,0,0,0,32,0,
143,143,More than 1000,0,0,2,0,1,1,2,1,0,0,0,0,5.0,5.0,-1,-1,-1,,1,0,0,1,33,1,
144,144,500-1000,0,1,1,1,1,1,1,1,2,1,1,1,8.0,8.0,-1,-1,-1,,1,1,1,0,42,1,White
145,145,100-500,1,1,1,1,1,1,1,1,1,1,2,1,7.0,7.0,-1,-1,-1,,1,1,1,0,46,0,
146,146,More than 1000,1,1,1,0,1,0,2,0,2,0,2,0,3.0,3.0,-1,-1,-1,,1,1,0,2,30,0,White
147,147,More than 1000,1,1,0,0,1,1,2,0,0,0,1,1,8.0,4.0,-1,-1,-1,,1,1,2,-1,24,0,
148,148,26-100,0,0,2,0,0,0,2,1,2,0,0,0,10.0,7.0,-1,-1,-1,,1,0,0,2,42,0,
149,149,More than 1000,0,1,2,0,0,2,2,1,0,0,0,0,5.0,5.0,-1,-1,-1,,0,0,0,0,28,0,
150,150,More than 1000,1,1,1,1,1,1,1,1,0,0,0,0,7.0,5.0,-1,-1,-1,,0,0,0,2,27,1,White
151,151,More than 1000,0,1,1,0,1,1,1,1,1,1,2,1,8.0,8.0,-1,-1,-1,,1,0,0,0,62,0,White
152,152,More than 1000,0,1,0,0,0,0,2,1,0,0,2,1,3.0,0.0,-1,-1,-1,,2,1,0,0,34,0,
153,153,500-1000,1,1,2,0,1,0,1,1,1,1,2,1,8.0,7.0,-1,-1,-1,,1,1,0,0,38,0,
154,154,26-100,1,1,-1,-1,1,1,1,1,1,1,1,1,8.0,8.0,-1,-1,-1,,1,1,1,2,42,0,
155,155,More than 1000,1,1,2,0,1,1,1,0,2,0,0,0,5.0,5.0,-1,-1,-1,,1,0,0,-1,35,0,White
156,156,More than 1000,0,1,1,1,1,1,1,1,1,1,1,1,7.0,8.0,-1,-1,-1,,1,1,0,-1,32,0,
157,157,26-100,1,1,0,0,0,0,2,1,0,0,2,0,4.0,2.0,-1,-1,-1,,1,0,0,0,32,1,White
158,158,26-100,1,1,0,0,0,0,0,1,1,0,0,0,2.0,1.0,-1,-1,-1,,0,0,0,2,25,1,
159,159,More than 1000,0,1,0,-1,1,2,2,0,1,1,2,1,7.0,7.0,-1,-1,-1,,1,0,0,0,52,0,
160,160,More than 1000,0,1,0,0,0,0,0,1,1,0,0,0,8.0,4.0,-1,-1,-1,,-1,0,2,0,24,1,
161,161,1-5,1,1,2,1,0,0,1,2,0,1,1,1,7.0,7.0,-1,-1,-1,,1,1,1,2,24,0,
162,162,More than 1000,1,1,1,1,1,1,2,1,1,1,2,1,5.0,5.0,-1,-1,-1,,1,1,1,0,48,1,Asian
163,163,26-100,0,0,1,1,1,1,1,1,2,0,2,1,5.0,9.0,-1,-1,-1,,1,1,2,0,24,0,
164,164,More than 1000,1,1,2,0,0,0,2,1,2,0,0,0,4.0,4.0,-1,-1,-1,,1,1,1,-1,32,0,
165,165,More than 1000,1,1,1,0,0,2,2,1,0,0,0,0,5.0,5.0,-1,-1,-1,,0,0,2,-1,21,0,
166,166,100-500,0,1,1,0,0,0,1,1,2,0,2,1,8.0,2.0,-1,-1,-1,,1,1,2,2,34,0,White
167,167,More than 1000,0,1,1,1,0,2,2,1,2,0,0,0,8.0,5.0,-1,-1,-1,,2,0,2,-1,25,0,
168,168,26-100,1,1,1,0,1,1,2,0,1,1,1,1,1.0,3.0,-1,-1,-1,,1,1,1,0,39,0,White
169,169,More than 1000,1,1,0,0,0,0,1,1,0,0,0,0,9.0,7.0,-1,-1,-1,,0,0,0,-1,25,0,
170,170,More than 1000,0,1,2,-1,1,1,0,1,0,1,0,1,6.0,7.0,-1,-1,-1,,1,0,0,1,28,1,
171,171,More than 1000,1,1,1,1,1,1,1,0,2,1,2,1,7.0,9.0,-1,-1,-1,,1,1,1,0,39,0,White
172,172,500-1000,0,0,2,0,0,0,2,1,0,0,2,0,5.0,5.0,-1,-1,-1,,0,0,2,0,20,0,
173,173,26-100,1,1,1,1,1,1,0,1,0,1,2,1,6.0,4.0,-1,-1,-1,,1,1,1,2,40,1,
174,174,More than 1000,1,1,2,0,2,2,2,1,0,0,0,0,8.0,3.0,-1,-1,-1,,0,0,0,1,31,0,
175,175,More than 1000,0,1,0,0,0,0,0,1,0,0,0,0,2.0,2.0,-1,-1,-1,,0,0,0,0,53,0,Asian
176,176,26-100,1,1,1,1,1,1,2,1,2,0,2,1,9.0,7.0,-1,-1,-1,,2,0,0,-1,23,1,
177,177,100-500,1,1,2,0,0,2,2,1,2,0,2,1,5.0,5.0,-1,-1,-1,,1,1,1,-1,34,0,White
178,178,500-1000,0,1,1,0,1,1,1,1,0,0,2,0,6.0,5.0,-1,-1,-1,,1,1,1,2,43,0,
179,179,500-1000,1,1,-1,-1,1,0,2,0,1,1,1,1,8.0,8.0,-1,-1,-1,,0,0,0,0,37,0,
